Judul,APBD Kab Bantul 2015,,
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 39 ,Uang Saku Pengiriman Perlombaan ,"10,000,000",
1.19 . 1.13.01 . 18 . 01 . 5 . 2 . 2 . 39 . 01 ,Uang Saku Pengiriman Atlit / Pelajar Berprestasi ,"10,000,000",Uang saku kafilah STQ ke Tk DIY20 orang x 500.000^00 = 10.000.000^00
1.19 . 1.13.01 . 18 . 09 ,Penyelenggaraan Festival Anak Sholeh ,"159,299,850","Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  Terselenggaranya festival anak soleh & jambore santri di Kab. Bantul
Target:  2 kegiatan"
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 1 ,Belanja Pegawai ,"13,900,000",
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 1 . 01 ,Honorarium PNS ,"2,600,000",
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,"2,600,000","Honor panitia pelaksana kegiatan Festival Anak Sholeh
Ketua1 org x 160.000^00 = 160.000^00
Sekretaris1 org x 150.000^00 = 150.000^00
Anggota6 org x 140.000^00 = 840.000^00
Honor panitia pelaksana kegiatan festival anak yatim sholeh
Ketua1 org x 160.000^00 = 160.000^00
Sekretaris1 org x 150.000^00 = 150.000^00
Anggota6 org x 140.000^00 = 840.000^00
Honor MCMC pembukaan & penutupan kegiatan jambore santri2 ok x 75.000^00 = 150.000^00
MC pembukaan & penutupan festival anak yatim soleh2 ok x 75.000^00 = 150.000^00"
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,"11,300,000",
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 1 . 02 . 06 ,Honorarium Petugas Pendamping Kegiatan ,"11,300,000","Honorarium penyelenggaraan kegiatan
Honor panitia pelaksana kegiatan festival anak sholeh15 org x 140.000^00 = 2.100.000^00
Honor petugas keamanan keg festival anak yatim sholeh15 org x 30.000^00 = 450.000^00
Honor petugas kebersihan keg festival anak yatim sholeh10 org x 25.000^00 = 250.000^00
honor petugas lomba kegiatan festival anak sholeh30 orang x 100.000^00 = 3.000.000^00
Honor panitia pelaksana keg festival anak yatim sholeh10 org x 140.000^00 = 1.400.000^00
Honor qori pembukaan dan penutupan keg festival anak yatim sholeh2 org x 100.000^00 = 200.000^00
Honor petugas lomba keg festival anak yatim sholeh30 org x 100.000^00 = 3.000.000^00
Honor qori pembukaan dan penutupan festival anak sholeh2 org x 100.000^00 = 200.000^00
Honor petugas keamanan keg festival anak sholeh15 org x 30.000^00 = 450.000^00
Honor petugas kebersihan keg festival anak sholeh10 org x 25.000^00 = 250.000^00"
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"145,399,850",
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"1,500,000",
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"1,500,000","Belanja alat tulis kantor
ATK kegiatan festival anak sholeh dan festival anak yatim sholeh1 ls x 1.500.000^00 = 1.500.000^00"
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,"6,000,000",
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,"5,000,000",Belanja dekorasiDekorasi1 ls x 5.000.000^00 = 5.000.000^00
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 03 . 15 ,Belanja Publikasi ,"1,000,000","Belanja publikasi
Pembelian spanduk dan umbul-umbul1 ls x 1.000.000^00 = 1.000.000^00"
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"2,834,850",
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,"1,050,000","Belanja cetak
Cetak Piagam300 lembar x 3.500^00 = 1.050.000^00"
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"1,784,850","Belanja penggandaan
Penggandaan kegiatan festival anak sholeh5^933 lbr x 150^00 = 889.950^00
Penggandaan keg festival anak yatim sholeh5^966 lbr x 150^00 = 894.900^00"
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,"16,000,000",
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 10 . 01 ,Belanja Sewa Meja Kursi ,"3,000,000","Belanja sewa meja kursi
Sewa meja kursi kegiatan festival anak yatim sholeh1 ls x 3.000.000^00 = 3.000.000^00"
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 10 . 05 ,Belanja Sewa Tenda ,"6,000,000","Belanja sewa tenda
Sewa tenda1 ls x 6.000.000^00 = 6.000.000^00"
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 10 . 07 ,Belanja Sewa Sound System ,"7,000,000","Belanja sewa sound system
Sewa sound system keg festival anak sholeh6 set x 500.000^00 = 3.000.000^00
Sewa sound system keg festival anak yatim sholeh8 set x 500.000^00 = 4.000.000^00"
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,"49,415,000",
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,"1,275,000","Belanja makan dan minum rapat
Snack minum kegiatan festival anak sholeh75 dos x 8.500^00 = 637.500^00
Snack minum kegiatan festival anak yatim sholeh75 dos x 8.500^00 = 637.500^00"
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,"48,140,000","Belanja makan dan minum pelaksanaan kegiatan
Makan minum pelaksanaan kegiatan festival anak yatim sholeh610 dos x 17.500^00 = 10.675.000^00
Snack minum pembukaan dan penutupan keg. festival anak sholeh1^640 dos x 8.500^00 = 13.940.000^00
Makan minum pelaksanaan kegiatan festival anak sholeh810 dos x 17.500^00 = 14.175.000^00
Snack minum kegiatan festival anak yatim sholeh1^100 dos x 8.500^00 = 9.350.000^00"
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 14 ,Belanja Pakaian khusus dan hari-hari tertentu ,"6,150,000",
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 14 . 03 ,Belanja Pakaian Batik Tradisional ,"6,150,000","Belanja pakaian batik tradisional
Seragam panitia festival anak sholeh23 buah x 150.000^00 = 3.450.000^00
Seragam panitia keg festival anak yatim sholeh18 buah x 150.000^00 = 2.700.000^00"
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 23 ,Belanja Barang Untuk Diserahkan kepada Masyarakat/Pihak Ketiga ,"13,500,000",
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 23 . 01 ,Belanja Barang Yang Akan Diserahkan Kepada Masyarakat ,"13,500,000","Belanja barang yang akan diserahkan kpd masyarakat
Trophy kejuaraan festival anak sholeh15 set x 300.000^00 = 4.500.000^00
Trophy kejuaraan festival anak yatim sholeh30 set x 300.000^00 = 9.000.000^00"
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 35 ,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,"18,000,000",
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 35 . 02 ,Jasa Yuri Perlombaan/Pelatih ,"18,000,000","Honorarium yuri perlombaan
Honor Dewan Yuri kegiatan festival anak sholeh30 org x 200.000^00 = 6.000.000^00
Honor Dewan Yuri kegiatan festival yatim anak sholeh60 orang x 200.000^00 = 12.000.000^00"
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 37 ,Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,"32,000,000",
1.19 . 1.13.01 . 18 . 09 . 5 . 2 . 2 . 37 . 01 ,Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,"32,000,000","Uang untuk diberikan kepada masyarakat
Uang pembinaan juara festival anak yatim sholeh1 paket x 17.000.000^00 = 17.000.000^00
Uang pembinaan juara Festival anak sholeh1 paket x 15.000.000^00 = 15.000.000^00"
1.19 . 1.13.01 . 18 . 10 ,Fasilitasi Pemeliharaan Makam Pahlawan dan Monumen ,"20,000,000","Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  Terlaksananya pengecatan & pemeliharaan di lingkungan makam pahlawan & monumen
Target:  4 lokasi"
1.19 . 1.13.01 . 18 . 10 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"20,000,000",
1.19 . 1.13.01 . 18 . 10 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,300,
1.19 . 1.13.01 . 18 . 10 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,300,Belanja Penggandaan2^000 lbr x 150^00 = 300.000^00
1.19 . 1.13.01 . 18 . 10 . 5 . 2 . 2 . 20 ,Belanja Pemeliharaan ,"3,200,000",
1.19 . 1.13.01 . 18 . 10 . 5 . 2 . 2 . 20 . 05 ,Belanja Pemeliharan Gedung dan Bangunan ,"3,200,000","Biaya cat dan peralatan pengecatan
Cat dan pengecatan1 ls x 3.200.000^00 = 3.200.000^00"
1.19 . 1.13.01 . 18 . 10 . 5 . 2 . 2 . 35 ,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,"16,500,000",
1.19 . 1.13.01 . 18 . 10 . 5 . 2 . 2 . 35 . 06 ,Jasa Tenaga Harian Lepas ,"16,500,000",Honor penjaga monumen dan makam pahlawan5 orang x 12 bulan60 orang x 275.000^00 = 16.500.000^00
1.19 . 1.13.01 . 18 . 11 ,Pemberdayaan Kaum Rois dan Penjaga Masjid ,"405,599,900","Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  Terlaksananya kegiatan pemberdayaan kaum rois
Target:  1.880 orang"
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 1 ,Belanja Pegawai ,"14,350,000",
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 1 . 01 ,Honorarium PNS ,"12,650,000",
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,"12,650,000","Honor panitia pelaksana kegiatan pemberdayaan kaum rois
Ketua11 ob x 160.000^00 = 1.760.000^00
Sekretaris11 ob x 150.000^00 = 1.650.000^00
Anggota66 ob x 140.000^00 = 9.240.000^00"
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,"1,700,000",
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 1 . 02 . 06 ,Honorarium Petugas Pendamping Kegiatan ,"1,700,000","Honorarium penyelenggaraan kegiatan
Honor petugas MC kegiatan pemberdayaan kaum rois17 org x 100.000^00 = 1.700.000^00"
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"391,249,900",
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"38,550,000",
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"38,550,000","Belanja Alat Tulis Kantor
ATK kegiatan pemberdayaan kaum rois1 ls x 950.000^00 = 950.000^00
ATK peserta pemberdayaan kaum rois1^880 paket x 20.000^00 = 37.600.000^00"
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,"188,000,000",
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 2 . 02 . 12 ,Belanja alat-alat/perlengkapan ,"188,000,000",Belanja alat-alat/perlengkapanTali asih untuk kaum rois1^880 buah x 100.000^00 = 188.000.000^00
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,"3,850,000",
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,"3,850,000","Belanja dekorasi
Dekorasi pemberdayaan kaum rois11 buah x 350.000^00 = 3.850.000^00"
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"677,4",
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"677,4","Belanja penggandaan
Penggandaan kegiatan pemberdayaan kaum rois4^516 lbr x 150^00 = 677.400^00"
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,"8,500,000",
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 2 . 07 . 02 ,Belanja Sewa Gedung/Kantor/Tempat ,"8,500,000","Belanja sewa gedung/kantor/tempat
Sewa tempat untuk kegiatan pemberdayaan kaum rois17 lokasi x 500.000^00 = 8.500.000^00"
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 2 . 10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,"8,500,000",
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 2 . 10 . 07 ,Belanja Sewa Sound System ,"8,500,000","Belanja sewa sound system
Sewa sound system kegiatan pemberdayaan kaum rois17 keg x 500.000^00 = 8.500.000^00"
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,"63,822,500",
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,"552,5","Belanja makan dan minum rapat
Snack makan minum rapat pemberdayaan kaum rois65 dos x 8.500^00 = 552.500^00"
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,"63,270,000","Belanja makan dan minum pelaksanaan kegiatan
Snack minum pemberdayaan kaum rois2^220 paket x 8.500^00 = 18.870.000^00
Makan minum pemberdayaan kaum rois2^220 dos x 20.000^00 = 44.400.000^00"
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 2 . 35 ,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,"79,350,000",
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 2 . 35 . 01 ,Jasa Nara Sumber/Moderator/Tenaga Ahli ,"22,950,000","Honorarium narasumber/moderator
Honor ustadz pemberdayaan kaum rois102 jpl x 225.000^00 = 22.950.000^00"
1.19 . 1.13.01 . 18 . 11 . 5 . 2 . 2 . 35 . 05 ,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,"56,400,000","Honor peserta sosialisasi
Honor peserta pemberdayaan kaum rois1^880 org x 30.000^00 = 56.400.000^00"
1.19 . 1.13.01 . 18 . 12 ,Pelatihan Manajemen Pengelola Tempat Ibadah ,"311,202,500","Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  Terlaksananya pelatihan manajemen pengelola tempat ibadah
Target:  300 orang"
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 1 ,Belanja Pegawai ,"6,125,000",
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 1 . 01 ,Honorarium PNS ,"5,725,000",
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,"4,600,000","Honor Panitia Pelaksana
Ketua4 ok x 160.000^00 = 640.000^00
Sekretaris4 ok x 150.000^00 = 600.000^00
Anggota24 ok x 140.000^00 = 3.360.000^00"
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 1 . 01 . 02 ,Honorarium Tim Pengadaan Barang Dan Jasa ,"1,125,000","Honor Pejabat Pembuat Komitmen (PPK) pengadaan barang1 org x 300.000^00 = 300.000^00
Honor Pejabat Pengadaan Barang1 org x 300.000^00 = 300.000^00
Honor Panitia Penerima/Pemeriksa Pengadaan BarangSekretaris1 org x 175.000^00 = 175.000^00
Anggota1 org x 150.000^00 = 150.000^00
Ketua1 org x 200.000^00 = 200.000^00"
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,400,
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 1 . 02 . 06 ,Honorarium Petugas Pendamping Kegiatan ,400,Honor Petugas MC Kegiatan4 orang x 100.000^00 = 400.000^00
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"305,077,500",
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"4,852,500",
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"4,852,500","Belanja Alat Tulis Kantor
ATK Kegiatan1 LS x 852.500^00 = 852.500^00
ATK Peserta200 pkt x 20.000^00 = 4.000.000^00"
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,"272,500,000",
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 2 . 02 . 12 ,Belanja alat-alat/perlengkapan ,"272,500,000","Sarana Prasarana Tempat Ibadah ( Alqur'an )
Sarana Prasarana Tempat Ibadah150 pkt x 250.000^00 = 37.500.000^00
Sarana dan prasarana tempat ibadah50 pkt x 4.700.000^00 = 235.000.000^00"
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,"1,600,000",
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,"1,600,000",Dekorasi4 buah x 400.000^00 = 1.600.000^00
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,750,
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,750,Penggandaan5^000 Lbr x 150^00 = 750.000^00
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,"2,400,000",
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 2 . 07 . 02 ,Belanja Sewa Gedung/Kantor/Tempat ,"2,400,000",Sewa Tempat4 hari x 600.000^00 = 2.400.000^00
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 2 . 10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,"2,000,000",
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 2 . 10 . 07 ,Belanja Sewa Sound System ,"2,000,000","Belanja Sewa Sound System
Sewa Sound System4 keg x 500.000^00 = 2.000.000^00"
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,"8,975,000",
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,425,Snack Minum Rapat50 dos x 8.500^00 = 425.000^00
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,"8,550,000","Belanja Makan dan Minum Pelaksanaan Kegiatan
Snack Minum300 dos x 8.500^00 = 2.550.000^00
Makan Minum300 dos x 20.000^00 = 6.000.000^00"
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 2 . 35 ,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,"12,000,000",
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 2 . 35 . 01 ,Jasa Nara Sumber/Moderator/Tenaga Ahli ,"6,000,000",Hr. Narasumber24 jpl x 250.000^00 = 6.000.000^00
1.19 . 1.13.01 . 18 . 12 . 5 . 2 . 2 . 35 . 05 ,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,"6,000,000",Honor Peserta200 orang x 30.000^00 = 6.000.000^00
1.13 . 1.13.01 . 18 ,Program pembinaan para penyandang cacat dan trauma ,"122,254,900",
1.13 . 1.13.01 . 18 . 04 ,Pendayagunaan para penyandang cacat dan eks trauma ,"48,399,900","Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  Pelaksanaan kegiatan workshop & pelatihan ketrampilan bagi penyandang disabilitas
Target:  160 orang"
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 1 ,Belanja Pegawai ,"1,140,000",
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 1 . 01 ,Honorarium PNS ,"1,140,000",
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,"1,140,000","Honor Panitia pelaksana Kegiatan Pelatihan Tanggap Darurat
Ketua1 Ok x 90.000^00 = 90.000^00
Sekretaris1 Ok x 80.000^00 = 80.000^00
Anggota3 Ok x 70.000^00 = 210.000^00
Honor Panitia Pelaksana Kegiatan Pelatihan Ketrampilan
Ketua2 ok x 90.000^00 = 180.000^00
Sekretaris2 Ok x 80.000^00 = 160.000^00
Anggota6 Ok x 70.000^00 = 420.000^00"
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"47,259,900",
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"2,315,000",
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"2,315,000",Belanja Alat Tulis Kegiatan1 ls x 2.315.000^00 = 2.315.000^00
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,"23,600,000",
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 . 02 . 08 ,Belanja Bahan Makanan ,"4,000,000",Belanja paket sembako Bakti Sosial1 ls x 4.000.000^00 = 4.000.000^00
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 . 02 . 12 ,Belanja alat-alat/perlengkapan ,"19,600,000","Belanja Bahan Perlengkapan
Belanja bahan praktek1 ls x 600.000^00 = 600.000^00
Belanja alat-2/perlengkapan usaha peserta pelatihan30 paket x 500.000^00 = 15.000.000^00
Belanja alat bantu penyandang disabilitas1 Ls x 4.000.000^00 = 4.000.000^00"
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"1,674,900",
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,300,Belanja CetakSpanduk2 Buah x 150.000^00 = 300.000^00
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"1,374,900","Belanja Penggandaan
Penggandaan Kegiatan9^166 Lbr x 150^00 = 1.374.900^00"
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,"1,500,000",
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 . 07 . 03 ,Belanja Sewa Ruang Rapat/Pertemuan ,"1,500,000","Belanja sewa ruang pertemuan
Belanja sewa ruang pelatihan usaha &pelatihan tanggap darurat3 hari x 500.000^00 = 1.500.000^00"
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 . 08 ,Belanja Sewa Sarana Mobilitas ,"2,000,000",
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 . 08 . 01 ,Belanja Sewa Sarana Mobilitas Darat ,"2,000,000","Belanja sewa mobilitas darat
Belanja sewamobilitas darat Upacara Hipenca2 buah x 600.000^00 = 1.200.000^00
Belanja sewa mobilitas darat Musyda Pertuni & Itmi2 buah x 400.000^00 = 800.000^00"
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,"9,375,000",
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,"1,125,000",Belanja makan^ snack^ dan minum rapat150 dos x 7.500^00 = 1.125.000^00
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,"8,250,000","Makan ^snack  dan minum kegiatan pelatihan ketrampilan usaha35  org x 1 keg x 2  hari x  Rp.25.000^-70 dos x 25.000^00 = 1.750.000^00
Belanja snack ^ makan^ minum peserta HIPENCA150 dos x Rp.25.000^00150 dos x 25.000^00 = 3.750.000^00
Belanja snack^ makan^ minum peserta pelatihan tanggap darurat60 dos x 1 Keg x Rp.25.000^-60 dos x 25.000^00 = 1.500.000^00
Belanja konsumsi Baksos50 dos x 1 Keg x Rp.25.000^-50 dos x 25.000^00 = 1.250.000^00"
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,"1,470,000",
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,"1,470,000","Belanja perjalanan dinas di Kab.Bantul
Gol IV 4 Kali x 50.000^00 = 200.000^00
Gol . III 8 Kali x 40.000^00 = 320.000^00
Belanja perjalanan dinas dalamProp. DIY
Gol . III 10 Kali x 60.000^00 = 600.000^00
Gol IV 5 Kali x 70.000^00 = 350.000^00"
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 . 35 ,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,"5,325,000",
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 . 35 . 01 ,Jasa Nara Sumber/Moderator/Tenaga Ahli ,"2,025,000","Honor Narasumber /Tenaga Ahli
Honor Narasumber Pelatihan Usaha6 Jpl x 225.000^00 = 1.350.000^00
Honor Narasumber pelatihan tanggap darurat3 Jpl x 225.000^00 = 675.000^00"
1.13 . 1.13.01 . 18 . 04 . 5 . 2 . 2 . 35 . 05 ,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,"3,300,000","Uang Transport peserta pelatihan ketrampilan30 org x 1 keg x2 hrx Rp.30.00060 oh x 30.000^00 = 1.800.000^00
Uang Transport Peserta Pelatihan Tanggap Darurat50 org x 1 keg xRp.30.000^0050 oh x 30.000^00 = 1.500.000^00"
1.13 . 1.13.01 . 18 . 06 ,Pendampingan program nasional jaminan sosial bagi penyandang cact berat dan JSLU,"73,855,000","Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  Terlaksananya program bantuan JSPC & JSLU
Target:  538 orang"
1.13 . 1.13.01 . 18 . 06 . 5 . 2 . 1 ,Belanja Pegawai ,"6,950,000",
1.13 . 1.13.01 . 18 . 06 . 5 . 2 . 1 . 01 ,Honorarium PNS ,"6,950,000",
1.13 . 1.13.01 . 18 . 06 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,"6,950,000","Panitia Pelaksana Pendampingan JSPC & JSLU
Anggota30 Ob x 110.000^00 = 3.300.000^00
Penasehat10 Ob x 130.000^00 = 1.300.000^00
Ketua10 Ob x 120.000^00 = 1.200.000^00
Sekretaris10 Ob x 115.000^00 = 1.150.000^00"
1.13 . 1.13.01 . 18 . 06 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"66,905,000",
