Judul;Penjabaran Anggaran Pendapatan Belanja Daerah;;;;;
1.01 . 1.01.02 . 02.34 . 5.2.3.12.09 ;Belanja Modal Pengadaan Kelengkapan Komputer (Flash Disk, Mouse, Keyboard, Hardisk, Speaker);0;1.500.000,00;1.500.000,00;0;Belanja modal pengadaan hardisk eksternal2 buah x 750.000,00 = 1.500.000,00
1.01 . 1.01.02 . 02.34 . 5.2.3.12.11 ;Belanja modal pengadaan software/aplilkasi program;0;10.500.000,00;10.500.000,00;0;Belanja modal pengadaan software note book apple3 buah x 3.500.000,00 = 10.500.000,00
1.01 . 1.01.02 . 02.34 . 5.2.3.16 ;Belanja Modal Pengadaan Alat-Alat Studio ;6.000.000,00;8.350.000,00;2.350.000,00;39,17;
1.01 . 1.01.02 . 02.34 . 5.2.3.16.01 ;Belanja Modal Pengadaan Kamera ;0;2.500.000,00;2.500.000,00;0;Belanja modal pengadaan kamera digital1 unit x 2.500.000,00 = 2.500.000,00
1.01 . 1.01.02 . 02.34 . 5.2.3.16.03 ;Belanja Modal Pengadaan Proyektor/LCD ;6.000.000,00;5.850.000,00;-150.000,00;-2,5;Belanja modal pengadaan LCD1 buah x 5.850.000,00 = 5.850.000,00
1.01 . 1.01.02 . 02.42 ;Rehabilitasi sedang/berat rumah gedung kantor ;0;47.605.000,00;47.605.000,00;0;Sumber Dana : Dana Alokasi Umum (D A U)
1.01 . 1.01.02 . 02.42 . 5.2.1 ;Belanja Pegawai ;0;850.000,00;850.000,00;0;
1.01 . 1.01.02 . 02.42 . 5.2.1.01 ;Honorarium PNS ;0;850.000,00;850.000,00;0;
1.01 . 1.01.02 . 02.42 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;0;850.000,00;850.000,00;0;"Honor Pelaksana kegiatam
Honor tim panitia pelaksana kegiatan1 org/bjj x 850.000,00 = 850.000,00"
1.01 . 1.01.02 . 02.42 . 5.2.3 ;Belanja Modal ;0;46.755.000,00;46.755.000,00;0;
1.01 . 1.01.02 . 02.42 . 5.2.3.26 ;Belanja Modal Pengadaan Konstruksi/Pembelian Bangunan;0;46.755.000,00;46.755.000,00;0;
1.01 . 1.01.02 . 02.42 . 5.2.3.26.25 ;Belanja modal pengadaan konstruksi/bangunan konstruksi tempat parkir;0;46.755.000,00;46.755.000,00;0;"Belanja Modal rehab rusak sangat berat/perluasan/peningkatan/pengadaan bangunan konstruksi tempat parkir kendaraan karyawan kantor
Pembangunan  kontruksi tempat parkir kendaraan karyawan kantor/ Dinas1 paket x 45.000.000,00 = 45.000.000,00
Honor pejabat pembuat komitmen1 org x 350.000,00 = 350.000,00
Honor petugas teknis bangunan1 org x 1.000.000,00 = 1.000.000,00
Belanja ATK1 keg x 150.000,00 = 150.000,00
Belanja makan minum rapat30 org x 8.500,00 = 255.000,00"
1.01 . 1.01.02 . 05 ;Program Peningkatan Kapasitas Sumber Daya Aparatur;16.500.000,00;292.740.000,00;276.240.000,00;1.674,18;
1.01 . 1.01.02 . 05.04 ;Penilaian Angka Kredit Pejabat Fungsional ;16.500.000,00;19.935.000,00;3.435.000,00;20,82;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 05.04 . 5.2.1 ;Belanja Pegawai ;9.820.000,00;13.430.000,00;3.610.000,00;36,76;
1.01 . 1.01.02 . 05.04 . 5.2.1.01 ;Honorarium PNS ;7.220.000,00;10.830.000,00;3.610.000,00;50;
1.01 . 1.01.02 . 05.04 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;7.220.000,00;10.830.000,00;3.610.000,00;50;"Honor tim kegiatan1 ls x 7.220.000,00 = 7.220.000,00
Honor Tim angka Kredit penilik dan pamong belajar1 bjj x 3.610.000,00 = 3.610.000,00"
1.01 . 1.01.02 . 05.04 . 5.2.1.03 ;Uang Lembur ;2.600.000,00;2.600.000,00;0;0;
1.01 . 1.01.02 . 05.04 . 5.2.1.03.01 ;Uang Lembur PNS ;2.600.000,00;2.600.000,00;0;0;"Golongan 3 dan 4160 org x 15.000,00 = 2.400.000,00
Golongan 220 org x 10.000,00 = 200.000,00"
1.01 . 1.01.02 . 05.04 . 5.2.2 ;Belanja Barang dan Jasa ;6.680.000,00;6.505.000,00;-175.000,00;-2,62;
1.01 . 1.01.02 . 05.04 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;1.567.500,00;1.567.500,00;0;0;
1.01 . 1.01.02 . 05.04 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;1.567.500,00;1.567.500,00;0;0;Belanja ATK1 LS x 1.567.500,00 = 1.567.500,00
1.01 . 1.01.02 . 05.04 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;1.350.000,00;1.350.000,00;0;0;
1.01 . 1.01.02 . 05.04 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;1.350.000,00;1.350.000,00;0;0;Belanja penggandaan9,000 lbr x 150,00 = 1.350.000,00
1.01 . 1.01.02 . 05.04 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;3.762.500,00;3.587.500,00;-175.000,00;-4,65;
1.01 . 1.01.02 . 05.04 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;437.500,00;437.500,00;0;0;Belanja makan minum rapat25 dos x 17.500,00 = 437.500,00
1.01 . 1.01.02 . 05.04 . 5.2.2.11.04 ;Belanja Makanan dan Minuman lembur ;3.325.000,00;3.150.000,00;-175.000,00;-5,26;Belanja makan minum lembur180 dos x 17.500,00 = 3.150.000,00
1.01 . 1.01.02 . 05.10 ;Seleksi Calon Kepala Sekolah ;0;272.805.000,00;272.805.000,00;0;Sumber Dana : 
1.01 . 1.01.02 . 05.10 . 5.2.1 ;Belanja Pegawai ;0;4.720.000,00;4.720.000,00;0;
1.01 . 1.01.02 . 05.10 . 5.2.1.01 ;Honorarium PNS ;0;4.000.000,00;4.000.000,00;0;
1.01 . 1.01.02 . 05.10 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;0;4.000.000,00;4.000.000,00;0;"Honor Panitia Pelaksana Kegiatan
Honor Panitia Pelaksana Kegiatan1 bjj x 1.500.000,00 = 1.500.000,00
Honor Tim seleksi1 bjj x 2.500.000,00 = 2.500.000,00"
1.01 . 1.01.02 . 05.10 . 5.2.1.03 ;Uang Lembur ;0;720.000,00;720.000,00;0;
1.01 . 1.01.02 . 05.10 . 5.2.1.03.01 ;Uang Lembur PNS ;0;720.000,00;720.000,00;0;Uang lemburUang Lembur PNS1 ls x 720.000,00 = 720.000,00
1.01 . 1.01.02 . 05.10 . 5.2.2 ;Belanja Barang dan Jasa ;0;268.085.000,00;268.085.000,00;0;
1.01 . 1.01.02 . 05.10 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;0;1.550.000,00;1.550.000,00;0;
1.01 . 1.01.02 . 05.10 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;0;1.550.000,00;1.550.000,00;0;Belanja ATK1 ls x 1.550.000,00 = 1.550.000,00
1.01 . 1.01.02 . 05.10 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;0;1.350.000,00;1.350.000,00;0;
1.01 . 1.01.02 . 05.10 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;0;1.350.000,00;1.350.000,00;0;"Belanja Penggandaan
Belanja foto copi/penggandaan9,000 lb x 150,00 = 1.350.000,00"
1.01 . 1.01.02 . 05.10 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;0;5.040.000,00;5.040.000,00;0;
1.01 . 1.01.02 . 05.10 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;0;2.000.000,00;2.000.000,00;0;"Makan minum rapat
Belanja makan minum rapat100 orang x 20.000,00 = 2.000.000,00"
1.01 . 1.01.02 . 05.10 . 5.2.2.11.04 ;Belanja Makanan dan Minuman lembur ;0;1.040.000,00;1.040.000,00;0;"Makan minum lembur
Belanja makan minum lembur52 orang x 20.000,00 = 1.040.000,00"
1.01 . 1.01.02 . 05.10 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;0;2.000.000,00;2.000.000,00;0;"Makan minum kegiatan
Belanja makan minum kegiatan100 orang x 20.000,00 = 2.000.000,00"
1.01 . 1.01.02 . 05.10 . 5.2.2.15 ;Belanja Perjalanan Dinas ;0;2.720.000,00;2.720.000,00;0;
1.01 . 1.01.02 . 05.10 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;0;720.000,00;720.000,00;0;Perjalanan dinas dalam propinsi1 ls x 720.000,00 = 720.000,00
1.01 . 1.01.02 . 05.10 . 5.2.2.15.02 ;Belanja Perjalanan Dinas Luar Daerah ;0;2.000.000,00;2.000.000,00;0;Perjalanan dinas luar daerah1 ls x 2.000.000,00 = 2.000.000,00
1.01 . 1.01.02 . 05.10 . 5.2.2.17 ;Belanja Kursus, Pelatihan, Sosialisasi Dan Bimbingan Teknis PNS;0;257.425.000,00;257.425.000,00;0;
1.01 . 1.01.02 . 05.10 . 5.2.2.17.07 ;Belanja Pengiriman Peserta Seleksi Akademik ;0;81.225.000,00;81.225.000,00;0;"Belanja operasional seleksi akademik
Seleksi akademik calon kepala sekolah40 orang x 2.000.000,00 = 80.000.000,00
PPK1 keg x 350.000,00 = 350.000,00
Honor pejabat pengadaan1 keg x 350.000,00 = 350.000,00
Honor penerima pemeriksa pekerjaan1 bjj x 525.000,00 = 525.000,00"
1.01 . 1.01.02 . 05.10 . 5.2.2.17.08 ;Belanja Pengiriman Peserta Diklat ;0;176.200.000,00;176.200.000,00;0;"Pengiriman peserta diklat
Belanja operasional diklat calon kepala sekolah20 orang x 4.000.000,00 = 80.000.000,00
Belanja operasional diklat calon pengawas25 orang x 3.750.000,00 = 93.750.000,00
Honor PPK2 keg x 350.000,00 = 700.000,00
Honor pejabat pengadaan2 keg x 350.000,00 = 700.000,00
Honor panitia penerima pemeriksa pekerjaan2 bjj x 525.000,00 = 1.050.000,00"
1.01 . 1.01.02 . 06 ;Program Peningkatan Pengembangan Sistem Pelaporan Capaian Kinerja dan Keuangan;15.000.000,00;15.000.000,00;0;0;
1.01 . 1.01.02 . 06.01 ;Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD ;15.000.000,00;15.000.000,00;0;0;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 06.01 . 5.2.1 ;Belanja Pegawai ;3.700.000,00;3.700.000,00;0;0;
1.01 . 1.01.02 . 06.01 . 5.2.1.03 ;Uang Lembur ;3.700.000,00;3.700.000,00;0;0;
1.01 . 1.01.02 . 06.01 . 5.2.1.03.01 ;Uang Lembur PNS ;3.700.000,00;3.700.000,00;0;0;"Uang lembur PNSGolongan 3 dan 4180 org x 15.000,00 = 2.700.000,00
Golongan 2100 org x 10.000,00 = 1.000.000,00"
1.01 . 1.01.02 . 06.01 . 5.2.2 ;Belanja Barang dan Jasa ;11.300.000,00;11.300.000,00;0;0;
1.01 . 1.01.02 . 06.01 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;3.400.000,00;3.400.000,00;0;0;
1.01 . 1.01.02 . 06.01 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;3.400.000,00;3.400.000,00;0;0;Belanja ATK1 LS x 3.400.000,00 = 3.400.000,00
1.01 . 1.01.02 . 06.01 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;3.000.000,00;3.000.000,00;0;0;
1.01 . 1.01.02 . 06.01 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;3.000.000,00;3.000.000,00;0;0;"Belanja penggandaan dan cetak
Belanja penggandaan/fotocopy20,000 lbr x 150,00 = 3.000.000,00"
1.01 . 1.01.02 . 06.01 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;4.900.000,00;4.900.000,00;0;0;
1.01 . 1.01.02 . 06.01 . 5.2.2.11.04 ;Belanja Makanan dan Minuman lembur ;4.900.000,00;4.900.000,00;0;0;"Belanja MML
Belanja makan minum lembur280 ol x 17.500,00 = 4.900.000,00"
1.01 . 1.01.02 . 15 ;Program Pendidikan Anak Usia Dini ;954.400.000,00;1.321.562.500,00;367.162.500,00;38,47;
1.01 . 1.01.02 . 15.62 ;Pengembangan Kurikulum, Bahan Ajar dan Model Pembelajaran Pendidikan Anak Usia Dini ;501.337.500,00;578.987.500,00;77.650.000,00;15,49;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 15.62 . 5.2.1 ;Belanja Pegawai ;0;2.650.000,00;2.650.000,00;0;
1.01 . 1.01.02 . 15.62 . 5.2.1.01 ;Honorarium PNS ;0;2.650.000,00;2.650.000,00;0;
1.01 . 1.01.02 . 15.62 . 5.2.1.01.02 ;Honorarium Tim Pengadaan Barang dan Jasa ;0;2.650.000,00;2.650.000,00;0;"Honor tim pengadaan barang
Honor PPK1 keg x 650.000,00 = 650.000,00
Honor pejabat pengadaan1 keg x 650.000,00 = 650.000,00
Honor penerima barang1 keg x 1.350.000,00 = 1.350.000,00"
1.01 . 1.01.02 . 15.62 . 5.2.2 ;Belanja Barang dan Jasa ;501.337.500,00;576.337.500,00;75.000.000,00;14,96;
1.01 . 1.01.02 . 15.62 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;5.600.000,00;5.600.000,00;0;0;
1.01 . 1.01.02 . 15.62 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;5.600.000,00;5.600.000,00;0;0;"Belanja alat tulis kantor
ATK sekretariat1 keg x 1.872.000,00 = 1.872.000,00
ATK di 17 kecamatan1 keg x 3.400.000,00 = 3.400.000,001 keg x 328.000,00 = 328.000,00"
1.01 . 1.01.02 . 15.62 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;1.837.500,00;1.837.500,00;0;0;
1.01 . 1.01.02 . 15.62 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;1.837.500,00;1.837.500,00;0;0;Belanja makanan dan minuman rapat1 keg x 1.837.500,00 = 1.837.500,00
1.01 . 1.01.02 . 15.62 . 5.2.2.23 ;Belanja Barang yang akan diserahkan kepada Masyarakat/ Pihak ketiga;0;75.000.000,00;75.000.000,00;0;
1.01 . 1.01.02 . 15.62 . 5.2.2.23.01 ;Belanja Barang yang akan diserahkan kepada Masyarakat;0;75.000.000,00;75.000.000,00;0;"Belanja barang yang diserahkan kepada lembaga PAUD Non Formal
Belanja pengadaan buku ensiklopedia jenjang PAUD NOn Formal1 keg x 75.000.000,00 = 75.000.000,00"
1.01 . 1.01.02 . 15.62 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;493.900.000,00;493.900.000,00;0;0;
1.01 . 1.01.02 . 15.62 . 5.2.2.34.10 ;Honorarium Penyelenggaraan Kegiatan ;493.900.000,00;493.900.000,00;0;0;"Honorarium Tim
Honor Tim penyusun kurikulum dan rencana kerja TK (1637 x 2 bulan x Rp.150.000)3,274 ob x 150.000,00 = 491.100.000,00
Honor tim sekretariat (14 x 2 x Rp.100.000)28 ob x 100.000,00 = 2.800.000,00"
1.01 . 1.01.02 . 15.65 ;Publikasi dan Sosialisasi Pendidikan Anak Usia Dini ;0;47.100.000,00;47.100.000,00;0;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 15.65 . 5.2.1 ;Belanja Pegawai ;0;1.500.000,00;1.500.000,00;0;
1.01 . 1.01.02 . 15.65 . 5.2.1.01 ;Honorarium PNS ;0;1.500.000,00;1.500.000,00;0;
1.01 . 1.01.02 . 15.65 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;0;1.500.000,00;1.500.000,00;0;"Honor pelaksana kegiatan PUAD
Honor tim penaggungjawab kegiatan1 keg x 1.500.000,00 = 1.500.000,00"
1.01 . 1.01.02 . 15.65 . 5.2.2 ;Belanja Barang dan Jasa ;0;45.600.000,00;45.600.000,00;0;
1.01 . 1.01.02 . 15.65 . 5.2.2.03 ;Belanja Jasa Kantor ;0;500.000,00;500.000,00;0;
1.01 . 1.01.02 . 15.65 . 5.2.2.03.13 ;Belanja Dokumentasi ;0;500.000,00;500.000,00;0;Belanja Dokumentasi1 Keg x 500.000,00 = 500.000,00
1.01 . 1.01.02 . 15.65 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;0;1.250.000,00;1.250.000,00;0;
1.01 . 1.01.02 . 15.65 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;0;1.250.000,00;1.250.000,00;0;Belanja foto copy10,000 lbr x 125,00 = 1.250.000,00
1.01 . 1.01.02 . 15.65 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;0;22.750.000,00;22.750.000,00;0;
1.01 . 1.01.02 . 15.65 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;0;5.250.000,00;5.250.000,00;0;Belanja Makan Minum Rapat300 Org x 17.500,00 = 5.250.000,00
1.01 . 1.01.02 . 15.65 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;0;17.500.000,00;17.500.000,00;0;Belanja makan minum kegiatan350 org x 50.000,00 = 17.500.000,00
1.01 . 1.01.02 . 15.65 . 5.2.2.15 ;Belanja Perjalanan Dinas ;0;18.650.000,00;18.650.000,00;0;
1.01 . 1.01.02 . 15.65 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;0;3.650.000,00;3.650.000,00;0;"Belanja Perjalanan Dinas Dalam Daerah
Golongan IV40 0rg x 50.000,00 = 2.000.000,00
Golongan III30 org x 40.000,00 = 1.200.000,00
Golongan II15 org x 30.000,00 = 450.000,00"
1.01 . 1.01.02 . 15.65 . 5.2.2.15.02 ;Belanja Perjalanan Dinas Luar Daerah ;0;15.000.000,00;15.000.000,00;0;Belanja Perjalanan Dinas Luar daerah1 Keg x 15.000.000,00 = 15.000.000,00
1.01 . 1.01.02 . 15.65 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;0;2.450.000,00;2.450.000,00;0;
1.01 . 1.01.02 . 15.65 . 5.2.2.34.01 ;Honorarium Nara Sumber/Moderator/Tenaga Ahli ;0;2.450.000,00;2.450.000,00;0;"Honor narasumber, moderator, dll
Honor narasumber7 org x 250.000,00 = 1.750.000,00
Honor moderator4 org x 100.000,00 = 400.000,00
Honor pembawa acara1 org x 100.000,00 = 100.000,00
Honor pemandu lagu1 org x 100.000,00 = 100.000,00
Honor pembaca do'a1 org x 100.000,00 = 100.000,00"
1.01 . 1.01.02 . 15.66 ;Monitoring, Evaluasi Pendidikan Anak Usia Dini ;0;14.612.500,00;14.612.500,00;0;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 15.66 . 5.2.1 ;Belanja Pegawai ;0;750.000,00;750.000,00;0;
1.01 . 1.01.02 . 15.66 . 5.2.1.01 ;Honorarium PNS ;0;750.000,00;750.000,00;0;
1.01 . 1.01.02 . 15.66 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;0;750.000,00;750.000,00;0;"Belanja Honorarium Panitia Pelaksana Kegiatan
Honor tim kegiatan1 org/bjj x 750.000,00 = 750.000,00"
1.01 . 1.01.02 . 15.66 . 5.2.2 ;Belanja Barang dan Jasa ;0;13.862.500,00;13.862.500,00;0;
1.01 . 1.01.02 . 15.66 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;0;725.000,00;725.000,00;0;
1.01 . 1.01.02 . 15.66 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;0;725.000,00;725.000,00;0;"Belanja Fotokopy
Belanja Foto copy3,000 lbr x 125,00 = 375.000,00
Belanja penggandaan1 keg x 350.000,00 = 350.000,00"
1.01 . 1.01.02 . 15.66 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;0;5.187.500,00;5.187.500,00;0;
1.01 . 1.01.02 . 15.66 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;0;2.187.500,00;2.187.500,00;0;Belanja makan minum rapat125 org x 17.500,00 = 2.187.500,00
1.01 . 1.01.02 . 15.66 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;0;3.000.000,00;3.000.000,00;0;"Belanja makan minum kegiatan
Belanja makan dan minum kegiatan120 org x 25.000,00 = 3.000.000,00"
1.01 . 1.01.02 . 15.66 . 5.2.2.15 ;Belanja Perjalanan Dinas ;0;7.950.000,00;7.950.000,00;0;
1.01 . 1.01.02 . 15.66 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;0;7.950.000,00;7.950.000,00;0;"Perjalanan dinas dalam daerahGolongan 480 org x 50.000,00 = 4.000.000,00
Golongan 380 org x 40.000,00 = 3.200.000,00
Golongan 225 org x 30.000,00 = 750.000,00"
1.01 . 1.01.02 . 15.67 ;Peningkatan minat, bakat dan kreatifitas anak usia dini ;83.375.000,00;132.500.000,00;49.125.000,00;58,92;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 15.67 . 5.2.1 ;Belanja Pegawai ;2.225.000,00;2.225.000,00;0;0;
1.01 . 1.01.02 . 15.67 . 5.2.1.01 ;Honorarium PNS ;2.225.000,00;2.225.000,00;0;0;
1.01 . 1.01.02 . 15.67 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;2.225.000,00;2.225.000,00;0;0;Honor panitia 19 hari1 tim/bjj x 2.225.000,00 = 2.225.000,00
1.01 . 1.01.02 . 15.67 . 5.2.2 ;Belanja Barang dan Jasa ;81.150.000,00;130.275.000,00;49.125.000,00;60,54;
1.01 . 1.01.02 . 15.67 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;2.122.500,00;2.122.500,00;0;0;
1.01 . 1.01.02 . 15.67 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;2.122.500,00;2.122.500,00;0;0;Belanja ATK Kegiatan Lomba1 Keg x 2.122.500,00 = 2.122.500,00
1.01 . 1.01.02 . 15.67 . 5.2.2.02 ;Belanja Bahan/Material ;6.040.000,00;26.040.000,00;20.000.000,00;331,13;
1.01 . 1.01.02 . 15.67 . 5.2.2.02.12 ;Belanja alat-alat/perlengkapan ;6.040.000,00;26.040.000,00;20.000.000,00;331,13;"Belanja bahan peningkatan minat, bakat, dan kreatifitas17 org x 320.000,00 = 5.440.000,00
Belanja Spanduk/Banner Lomba1 keg x 300.000,00 = 300.000,00
Dokumentasi Kegiatan Lomba1 keg x 300.000,00 = 300.000,00
Belanja bahan, alat dan kebutuhan penyelenggaraan Gebyar PAUD
Belanja atau sewa untuk bahan, alat dan kebutuhan perlengkapan penyelenggaraan Gebyar PAUD Kabupaten Bantul1 paket x 20.000.000,00 = 20.000.000,00"
1.01 . 1.01.02 . 15.67 . 5.2.2.03 ;Belanja Jasa Kantor ;400.000,00;5.400.000,00;5.000.000,00;1.250,00;
1.01 . 1.01.02 . 15.67 . 5.2.2.03.12 ;Belanja Transportasi dan Akomodasi ;0;5.000.000,00;5.000.000,00;0;"Belanja transportasi bagi rombongan Gebyar PAUD
Biaya transporatasi bagi kontingen Bantul ke tingkat Provinsi DIY500 anak x 10.000,00 = 5.000.000,00"
1.01 . 1.01.02 . 15.67 . 5.2.2.03.15 ;Belanja Publikasi ;400.000,00;400.000,00;0;0;"Belanja publikasi
Belanja publikasi melalui media elektronik1 keg x 400.000,00 = 400.000,00"
1.01 . 1.01.02 . 15.67 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;11.462.500,00;26.337.500,00;14.875.000,00;129,77;
1.01 . 1.01.02 . 15.67 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;945.000,00;1.820.000,00;875.000,00;92,59;"MMR Lomba Gugus18 org x 17.500,00 = 315.000,00
MMR Lomba Krestifitas Guru dan Siswa
MMR Lomba Kreatifitas Guru dan Siswa18 org x 17.500,00 = 315.000,00
MMR Lomba Olimpiade Seni dan Sains Nasional TK18 org x 17.500,00 = 315.000,00
Makan dan minum rapat untuk kegiatan Gebyar PAUD
Makan dan minum rapat Gebyar PAUD50 org x 17.500,00 = 875.000,00"
1.01 . 1.01.02 . 15.67 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;10.517.500,00;24.517.500,00;14.000.000,00;133,11;"MMK Lomba Gugus 17 hari306 org x 17.500,00 = 5.355.000,00
MMK Lomba Kreatifitas Guru dan Siswa 1 hari
MMK Lomba Kraatifitas Guru dan Siswa 1 hari230 org x 17.500,00 = 4.025.000,00
MMK Lomba Olimpiade Sains dan Seni Nasional TK 1 hari
MMK Lomba Olimpiade Sains dan Seni Tingkat Nasional TK 1 hari65 org x 17.500,00 = 1.137.500,00
Belanja makan dan minum penyelenggaraan Gebyar PAUD
Belanja makan dan minum kegiatan untuk penyelenggaraan Gebyar PAUD800 org x 17.500,00 = 14.000.000,00"
1.01 . 1.01.02 . 15.67 . 5.2.2.15 ;Belanja Perjalanan Dinas ;13.750.000,00;20.500.000,00;6.750.000,00;49,09;
1.01 . 1.01.02 . 15.67 . 5.2.2.15.02 ;Belanja Perjalanan Dinas Luar Daerah ;13.750.000,00;20.500.000,00;6.750.000,00;49,09;"Belanja perjalanan dinas luar daerah untuk lomba maju ke tingkat nasional
Belanja perjalanan dinas untuk guru/kepala sekolah/murid/pengawas1 keg x 15.000.000,00 = 15.000.000,00
Biaya perjalanan dinas untuk lembaga2 org x 2.750.000,00 = 5.500.000,00"
1.01 . 1.01.02 . 15.67 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;26.400.000,00;26.400.000,00;0;0;
1.01 . 1.01.02 . 15.67 . 5.2.2.34.01 ;Honorarium Nara Sumber/Moderator/Tenaga Ahli ;100.000,00;100.000,00;0;0;Honor Narasumber Siaran Media Masa1 org x 100.000,00 = 100.000,00
1.01 . 1.01.02 . 15.67 . 5.2.2.34.02 ;Honorarium Yuri Perlombaan ;26.300.000,00;26.300.000,00;0;0;"Honor Yuri
Honor Yuri Lomba Gugus 17 x 13 x Rp. 100221 org x 100.000,00 = 22.100.000,00
Honor Yuri Kreatifitas Guru dan Siswa 11 hari33 org x 100.000,00 = 3.300.000,00
Yuri Olimpiade Seni dan Sains Nasional TK 1 hari9 org x 100.000,00 = 900.000,00"
1.01 . 1.01.02 . 15.67 . 5.2.2.35 ;Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat;20.975.000,00;23.475.000,00;2.500.000,00;11,92;
1.01 . 1.01.02 . 15.67 . 5.2.2.35.01 ;Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat;20.975.000,00;23.475.000,00;2.500.000,00;11,92;"Uang yang diberikan kepada masyarakat
Belanja hadiah dan penghargaan lomba gugus1 keg x 9.375.000,00 = 9.375.000,00
Belanja hadiah dan penghargaan lomba kreatifitas guru1 keg x 3.375.000,00 = 3.375.000,00
Belanja hadiah dan penghargaan lomba kreatifitas siswa1 keg x 3.150.000,00 = 3.150.000,00
Belanja hadiah dan penghargaan lomba OOSN TK1 keg x 1.575.000,00 = 1.575.000,00
Pemberian reward bagi peserta lomba yang berhasil meraih juara 1, 2, 3, 4, 5 nasional1 keg x 3.500.000,00 = 3.500.000,00
Pemberian cenderamata bagi anak peserta Gebyar PAUD
Belanja cenderamata bagi anak peserta Gebyar PAUD500 org x 5.000,00 = 2.500.000,00"
