Judul,PENJABARAN APenjabaran Anggaran Pendaptan dan Belanja DaerahPBD,,
1.13 . 1.12.01 . 16 . 14 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,3090000,
1.13 . 1.12.01 . 16 . 14 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,3000000,"APBD Belanja alat tulis kantorBelanja 
ATK1 pkt x 600.000,00 = 600.000,00
ATK pelatihan40 pkt x 60.000,00 = 2.400.000,00"
1.13 . 1.12.01 . 16 . 14 . 5 . 2 . 2 . 01 . 04,"Belanja Perangko, Materai Dan Benda Pos",90000,"APBD
 Belanja perangko, materai dan benda pos
Belanja materai @ 3.000,-10 bh x 3.000,00 = 30.000,00
Belanja materai @ 6.000,-10 bh x 6.000,00 = 60.000,00"
1.13 . 1.12.01 . 16 . 14 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,400000,
1.13 . 1.12.01 . 16 . 14 . 5 . 2 . 2 . 03 . 13,Belanja Dokumentasi,400000,"APBD 
Belanja jasa dokumentasi1 pkt x 400.000,00 = 400.000,00"
1.13 . 1.12.01 . 16 . 14 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,570000,
1.13 . 1.12.01 . 16 . 14 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,570000,"APBD 
Belanja penggandaanFoto copy1 pkt x 570.000,00 = 570.000,00"
1.13 . 1.12.01 . 16 . 14 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,11600000,
1.13 . 1.12.01 . 16 . 14 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,8000000,"APBD 
Belanja makan minum rapatmakan minum rapat (40 or x 4 x 25.000,-160 or x 25.000,00 = 4.000.000,00
Makan minum pelaksanaan kegiatan (40 or x 4 x 25.000,-)160 or x 25.000,00 = 4.000.000,00"
1.13 . 1.12.01 . 16 . 14 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,3600000,"APBD 
Belanja makanan dan minuman pelaksanaan kegiatanMakan minum144 or x 25.000,00 = 3.600.000,00"
1.13 . 1.12.01 . 16 . 14 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,2400000,
1.13 . 1.12.01 . 16 . 14 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,2400000,"APBD 
Belanja perjalanan dinas dalam daerah
Gol. IV16 oh x 45.000,00 = 720.000,00
Gol. III48 oh x 35.000,00 = 1.680.000,00"
1.13 . 1.12.01 . 16 . 14 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",10800000,
1.13 . 1.12.01 . 16 . 14 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,10800000,"APBD 
Honorarium NarasumberPenyaji materi (8 jpl x 3 hr)24 jpl x 300.000,00 = 7.200.000,00
Honorarium harianTransport peserta120 or x 30.000,00 = 3.600.000,00"
1.12 . 1.12.01 . 17,Program pelayanan kontrasepsi,171350000,
1.12 . 1.12.01 . 17 . 02,Pelayanan pemasangan kontrasepsi KB,171350000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : PUS Unmeetneed terlayani KB
Target : 550 orang"
1.12 . 1.12.01 . 17 . 02 . 5 . 2 . 1,Belanja Pegawai,0,
1.12 . 1.12.01 . 17 . 02 . 5 . 2 . 1 . 01,Honorarium PNS,0,
1.12 . 1.12.01 . 17 . 02 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,0,"APBD
 Honorarium Panitia Pelaksana KegiatanKetua0 or x 200.000,00 = 0,00
Sekretaris0 or x 150.000,00 = 0,00
Anggota0 or x 100.000,00 = 0,00"
1.12 . 1.12.01 . 17 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,171350000,
1.12 . 1.12.01 . 17 . 02 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,100000,
1.12 . 1.12.01 . 17 . 02 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,100000,"APBD 
Belanja Alat Tulis KantorBelanja ATK1 pkt x 100.000,00 = 100.000,00"
1.12 . 1.12.01 . 17 . 02 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,0,
1.12 . 1.12.01 . 17 . 02 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,0,"APBD 
Belanja penggandaanFoto copy materi0 pkt x 212.000,00 = 0,00"
1.12 . 1.12.01 . 17 . 02 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,6250000,
1.12 . 1.12.01 . 17 . 02 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,6250000,"APBD 
Belanja makan dan minuman pelaksanaan kegiatanMakan dan minum petugas100 or x 25.000,00 = 2.500.000,00
Belanja snack dan minum500 or x 7.500,00 = 3.750.000,00"
1.12 . 1.12.01 . 17 . 02 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",165000000,
1.12 . 1.12.01 . 17 . 02 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,165000000,"APBD
 Honorarium tenaga ahli/instrukutur/nara sumber
Honorarium Tenaga Ahli Pasang IUD dan Inplant250 or x 50.000,00 = 12.500.000,00
Honorarium Tenaga Ahli cabut IUD dan inplant250 or x 50.000,00 = 12.500.000,00
Biaya pelayanan tesv sperma peserta MOPBiaya pelayanan tes sperma100 or x 150.000,00 = 15.000.000,00
Honorarium Non PNSHonor Peserta MOP (10 or x 4 keg)100 or x 150.000,00 = 15.000.000,00
Honor motivator100 or x 100.000,00 = 10.000.000,00
Reward peserta100 or x 1.000.000,00 = 100.000.000,00"
1.11 . 1.12.01 . 17,Program Peningkatan Kualitas Hidup dan Perlindungan Perempuan,267915000,
1.11 . 1.12.01 . 17 . 05,Sosialisasi dan advokasi kebijakan perlindungan tenaga kerja perempuan,3200000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Terselenggaranya koordinasi dan pelatihan bagi GTPPO
Target : 110 orang"
1.11 . 1.12.01 . 17 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,3200000,
1.11 . 1.12.01 . 17 . 05 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,200000,
1.11 . 1.12.01 . 17 . 05 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,200000,"APBD 
Belanja Alat Tulis Kantor
Belanja ATK Kegiatan1 Pkt x 200.000,00 = 200.000,00"
1.11 . 1.12.01 . 17 . 05 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,250000,
1.11 . 1.12.01 . 17 . 05 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,250000,"APBD Belanja Penggandaan1 Pkt x 250.000,00 = 250.000,00"
1.11 . 1.12.01 . 17 . 05 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,2750000,
1.11 . 1.12.01 . 17 . 05 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,2750000,"APBD
 Belanja Makan Minum Rapat Koordinasi
Belanja Minum dan Snack 2 x 55 org x 7.500110 Org x 7.500,00 = 825.000,00
Belanja Makan dan Minum 2 x 55 Org x 17.500110 Org x 17.500,00 = 1.925.000,00"
1.11 . 1.12.01 . 17 . 08,Pendampingan upaya perlindungan perempuan terhadap tindak kekerasan,150000000,"Sumber Dana : APBD
Lokasi Kegiatan : Bantul
Keluaran : Cakupan perempuan dan anak korban yang ditangani
Target : 313 orang"
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 1,Belanja Pegawai,71500000,
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 1 . 01,Honorarium PNS,71500000,
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,71500000,"APBD
 Honorarium Panitia Pelaksana Kegiatan
Ketua11 Bln x 1.300.000,00 = 14.300.000,00
Sekretaris11 Bln x 1.300.000,00 = 14.300.000,00
Bendahara11 Bln x 1.300.000,00 = 14.300.000,00
Pembantu Umum 2 Org22 Bln x 1.300.000,00 = 28.600.000,00"
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,78500000,
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,1200000,
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,600000,"APBD
 Belanja ATK Kegiatan1 Pkt x 600.000,00 = 600.000,00"
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 2 . 01 . 08,Belanja Pengisian Tabung Gas,600000,"APBD
 Belanja Pengisian Tabung Gas12 Bln x 50.000,00 = 600.000,00"
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,200000,
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 2 . 03 . 13,Belanja Dokumentasi,200000,"APBD
 Belanja Dokumentasi1 Pkt x 200.000,00 = 200.000,00"
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,1216000,
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 2 . 06 . 01,Belanja Cetak,500000,"APBD 
Belanja Cetak LeafletCetak Leaflet500 Lbr x 1.000,00 = 500.000,00"
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,716000,"APBD 
Belanja Penggandaan1 Pkt x 716.000,00 = 716.000,00"
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,8584000,
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,8584000,"APBD 
Belanja Makan dan Minum Rapat
Belanja Minum 3 dus x 12 x 24.00036 Org x 24.000,00 = 864.000,00
Makan dan Minum Korban Kekerasan 3 Kasus x 7 Hr x 3 x 20.00063 Org x 20.000,00 = 1.260.000,00
Snack dan Minum Korban kekerasan 3 Kasus x 7 Hr x 1 x 10.00021 Org x 10.000,00 = 210.000,00
Snack dan Minum Study Kasus 10 org x 25 Kasus x 7.500250 Org x 7.500,00 = 1.875.000,00
Makan dan Minum Study Kasus 10 org x 25 Kasus x 17.500250 Org x 17.500,00 = 4.375.000,00"
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 2 . 13,Belanja Pakaian Kerja,1600000,
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 2 . 13 . 01,Belanja Pakaian Kerja Lapangan,1600000,"APBD
 Belanja Pakaian Kerja Lapangan8 Pkt x 200.000,00 = 1.600.000,00"
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,3700000,
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,1300000,"APBD
 Belanja Perjalanan Dinas Dalam Daerah
Belanja Perjalanan Dinas Dalam Daerah Kabupaten/Kecamatan/Desa Golongan II 10 x 3 Org x 30.00030 Oh x 30.000,00 = 900.000,00
Belanja Perjalanan Dinas Dalam Daerah Luar Kabupaten Golongan II 10 Org x 40.00010 Oh x 40.000,00 = 400.000,00"
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 2 . 15 . 02,Belanja Perjalanan Dinas Luar Daerah,2400000,"APBD
 Belanja Perjalanan Dinas Luar Daerah
Belanja Perjalanan Dinas Luar Daerah Golongan II 1 x 2 x 300.0002 Oh x 300.000,00 = 600.000,00
Tiket Pesawat PP 1 Org x 900.0002 Org x 900.000,00 = 1.800.000,00"
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",62000000,
1.11 . 1.12.01 . 17 . 08 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,62000000,"APBD Jasa Narasumber/Moderator/Tenaga AhliTenaga Ahli Bidang Kesehatan10 Bln x 300.000,00 = 3.000.000,00
Jasa Rehabilitasi Sosial10 Bln x 250.000,00 = 2.500.000,00
Jasa konsultasi Bimbingan Rohani10 Bln x 150.000,00 = 1.500.000,00
Jasa Pendamping Bidang Hukum11 Bln x 2.500.000,00 = 27.500.000,00
Jasa Pendamping Bidang Psycologis11 Bln x 2.500.000,00 = 27.500.000,00"
1.11 . 1.12.01 . 17 . 15, Forum Penangganan Korban Kekerasan,38235000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kabupaten Bantul
Keluaran : Terlaksananya koordinasi Tim dan Pelatihan Guru BK
Target : 370 orang"
1.11 . 1.12.01 . 17 . 15 . 5 . 2 . 1,Belanja Pegawai,1985000,
1.11 . 1.12.01 . 17 . 15 . 5 . 2 . 1 . 01,Honorarium PNS,1985000,
1.11 . 1.12.01 . 17 . 15 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,1985000,"APBD 
Honorarium panitia Pelaksana KegiatanPembina0 Org x 200.000,00 = 0,00
Wakil Pembina0 Org x 170.000,00 = 0,00
Pengarah/Penasehat0 Org x 140.000,00 = 0,00
Ketua0 Org x 120.000,00 = 0,00
Sekretaris1 org x 115.000,00 = 115.000,00
Anggota17 Org x 110.000,00 = 1.870.000,00
Honorarium Panitia Pelatihan
Ketua Tim0 Oh x 90.000,00 = 0,00
Sekretaris Tim0 Oh x 80.000,00 = 0,00
Anggota Tim0 Oh x 70.000,00 = 0,00"
1.11 . 1.12.01 . 17 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,36250000,
1.11 . 1.12.01 . 17 . 15 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,400000,
1.11 . 1.12.01 . 17 . 15 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,400000,"APBD
 Belanja Alat Tulis KantorBelanja ATK kegiatan1 Pkt x 400.000,00 = 400.000,00"
1.11 . 1.12.01 . 17 . 15 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,12200000,
1.11 . 1.12.01 . 17 . 15 . 5 . 2 . 2 . 03 . 12,Belanja Transportasi dan Akomodasi,12000000,"APBD
 Belanja Transportasi Dan Akomodasi
Belanja Kunjungan Kerja FPKK1 Pkt x 12.000.000,00 = 12.000.000,00"
1.11 . 1.12.01 . 17 . 15 . 5 . 2 . 2 . 03 . 14,Belanja Dekorasi,200000,"APBD Belanja Dekorasi1 Pkt x 200.000,00 = 200.000,00"
1.11 . 1.12.01 . 17 . 15 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,475000,
1.11 . 1.12.01 . 17 . 15 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,475000,"APBD 
Belanja Penggandaan1 Pkt x 475.000,00 = 475.000,00"
1.11 . 1.12.01 . 17 . 15 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,8800000,
1.11 . 1.12.01 . 17 . 15 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,5500000,"APBD 
Belanja Makan Minum RapatMinum dan Snack 4 x 56 Org x 7.500220 Org x 7.500,00 = 1.650.000,00
Makan dan Minum 4 x 56 Org x 17.500220 17500 x 17.500,00 = 3.850.000,00"
1.11 . 1.12.01 . 17 . 15 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,3300000,"APBD
 Belanja Makan Minum Pelaksanaan PelatihanSnack dan Minum 3 x 40 Org x 10.000120 Org x 10.000,00 = 1.200.000,00
Makan dan Minum 3 x 40 Org x 17.500120 Org x 17.500,00 = 2.100.000,00"
1.11 . 1.12.01 . 17 . 15 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",10775000,
1.11 . 1.12.01 . 17 . 15 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,4100000,"APBD
 Honorarium Narasumber/Narasumber/Tenaga AhliNarasumber Rakor Forum8 Jpl x 100.000,00 = 800.000,00
Narasumber Pelatihan30 Jpl x 100.000,00 = 3.000.000,00
Moderator3 hr x 100.000,00 = 300.000,00"
1.11 . 1.12.01 . 17 . 15 . 5 . 2 . 2 . 35 . 03,Jasa Petugas Entry Data dan Digital SIG,6675000,"APBD
 Honorarium Petugas Entry Data
Ketua3 Org x 225.000,00 = 675.000,00
Anggota30 Org x 200.000,00 = 6.000.000,00"
1.11 . 1.12.01 . 17 . 15 . 5 . 2 . 2 . 36,Belanja Jasa Transport Petugas/Peserta,3600000,
1.11 . 1.12.01 . 17 . 15 . 5 . 2 . 2 . 36 . 02,Honorarium Peserta Rapat/Sosialisasi,3600000,"APBD
 Honorarium Peserta PelatihanHonor Peserta Pelatihan 30 Org x 3 Hr x 30000120 Org x 30.000,00 = 3.600.000,00"
1.11 . 1.12.01 . 17 . 17,Lomba Kecamatan Sayang Ibu,20000000,"Sumber Dana : APBDLokasi 
Kegiatan : Bantul
Keluaran : Terselenggaranya kegiatan KSI
Target : 375 orang"
1.11 . 1.12.01 . 17 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,20000000,
1.11 . 1.12.01 . 17 . 17 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,990000,
1.11 . 1.12.01 . 17 . 17 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,957000,"APBD
 Belanja Alat Tulis KantorBelanaj ATK Kegiatan1 Pkt x 957.000,00 = 957.000,00"
1.11 . 1.12.01 . 17 . 17 . 5 . 2 . 2 . 01 . 04,"Belanja Perangko, Materai Dan Benda Pos",33000,"APBD Belanja Materai
Materai 30003 Lbr x 3.000,00 = 9.000,00
Materai 60004 Lbr x 6.000,00 = 24.000,00"
1.11 . 1.12.01 . 17 . 17 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,900000,
1.11 . 1.12.01 . 17 . 17 . 5 . 2 . 2 . 03 . 14,Belanja Dekorasi,900000,"APBD
 Belanja dekorasi1 Pkt x 900.000,00 = 900.000,00"
1.11 . 1.12.01 . 17 . 17 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,900000,
1.11 . 1.12.01 . 17 . 17 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,900000,"APBD
 Belanja Penggandaan1 Pkt x 900.000,00 = 900.000,00"
1.11 . 1.12.01 . 17 . 17 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,12675000,
1.11 . 1.12.01 . 17 . 17 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,4675000,"APBD
 Belanja Makan Minum RapatSnack Minum Rapat Tk Kabupaten 2 x 25 Org x 10.00050 Org x 10.000,00 = 500.000,00
Makan Minum Rapat Tk Kabupatenn 2 x 25 Org x 17.50050 Org x 17.500,00 = 875.000,00
Snack Minum Rapat Tk Kecamatan 4 x 30 org x 10.000120 Org x 10.000,00 = 1.200.000,00
Makan Minum Rapat Tk. Kecamatan 4 x 30 Org x 17.500120 Org x 17.500,00 = 2.100.000,00"
1.11 . 1.12.01 . 17 . 17 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,8000000,"APBD
 Belanja Makan Minum Pelaksanaan Kegiatan KSISnack Minum Pelaksanaan KSI 200 x 10.000200 Org x 10.000,00 = 2.000.000,00
Makan Minum Pelaksanaan KSI 200 x 30.000200 Org x 30.000,00 = 6.000.000,00"
1.11 . 1.12.01 . 17 . 17 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",4535000,
1.11 . 1.12.01 . 17 . 17 . 5 . 2 . 2 . 35 . 02,Jasa Yuri Perlombaan/Pelatih,4535000,"APBD
 Honorarium Panita Pelaksanaan KegiatanPembina/Pelindung1 Bln x 240.000,00 = 240.000,00
Pengarah1 Bln x 235.000,00 = 235.000,00
Ketua1 Bln x 230.000,00 = 230.000,00
Sekretaris1 Bln x 230.000,00 = 230.000,00
Anggota 16 Org x 1 Bln16 Bln x 225.000,00 = 3.600.000,00"
1.11 . 1.12.01 . 17 . 18,Pemberdayaan Perempuan dan Anak,32000000,"Sumber Dana : APBD
Lokasi Kegiatan : Bantul
Keluaran : Terlaksananya kegiatan pemberdayaan perempuan
Target : 1.050 orang"
1.11 . 1.12.01 . 17 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,32000000,
1.11 . 1.12.01 . 17 . 18 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,727000,
1.11 . 1.12.01 . 17 . 18 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,700000,"APBD 
Belanja Alat Tulis KantorBelanja ATK Kegiatan1 Pkt x 700.000,00 = 700.000,00"
1.11 . 1.12.01 . 17 . 18 . 5 . 2 . 2 . 01 . 04,"Belanja Perangko, Materai Dan Benda Pos",27000,"APBD 
Belanja MateraiMaterai 30003 Lbr x 3.000,00 = 9.000,00
Materai 60003 Lbr x 6.000,00 = 18.000,00"
1.11 . 1.12.01 . 17 . 18 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,400000,
1.11 . 1.12.01 . 17 . 18 . 5 . 2 . 2 . 03 . 14,Belanja Dekorasi,400000,"APBD
 Belanja Dekorasi2 Pkt x 200.000,00 = 400.000,00"
1.11 . 1.12.01 . 17 . 18 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,688000,
1.11 . 1.12.01 . 17 . 18 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,688000,"APBD
 Belanja Penggandaan1 Pkt x 688.000,00 = 688.000,00"
1.11 . 1.12.01 . 17 . 18 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,27285000,
1.11 . 1.12.01 . 17 . 18 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,510000,"APBD Belanja Makan Minum Rapat Koordinasi Hari Kartini
Snack Minum Rakor Hari Kartini 2 x 10 Org x 8.00020 Org x 8.000,00 = 160.000,00
Makan Minum Rakor Hari Kartini 2 x 10 Org x 17.50020 Org x 17.500,00 = 350.000,00"
1.11 . 1.12.01 . 17 . 18 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,26775000,"APBD 
Belanja Makan Minum Pelaksanaan Seminar
Snack Minum 2 x 100 Org x 8.000200 Org x 8.000,00 = 1.600.000,00
Makan Minum 2 x 100 Org x 17.500200 Org x 17.500,00 = 3.500.000,00
Belanja Makan Minum Kegiatan HariKartiniSnack Minum 2 x 50 Org x 17 x 8.000850 Org x 8.000,00 = 6.800.000,00
Makan dan Minum 2 x 50 Org x 17 x 17.500850 Org x 17.500,00 = 14.875.000,00"
1.11 . 1.12.01 . 17 . 18 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",2900000,
1.11 . 1.12.01 . 17 . 18 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,2900000,"APBD
 Jasa Narasumber/Moderator/Tenaga AhliJasa Narasumber 2 Keg x 6 Jpl12 Jpl x 200.000,00 = 2.400.000,00
Jasa Moderator2 Org x 250.000,00 = 500.000,00"
1.11 . 1.12.01 . 17 . 19,Operasional Sekretariat Forum Anak Bantul,24480000,"Sumber Dana : APBD
Lokasi Kegiatan : Bantul
Keluaran : Terpenuhinya hak partisipasi anak
Target : 430 orang"
1.11 . 1.12.01 . 17 . 19 . 5 . 2 . 1,Belanja Pegawai,0,
1.11 . 1.12.01 . 17 . 19 . 5 . 2 . 1 . 01,Honorarium PNS,0,
1.11 . 1.12.01 . 17 . 19 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,0,"APBD 
Honor Panitia Pelaksanaan KegiatanKetua Tim0 Oh x 90.000,00 = 0,00
Sekretaris0 Oh x 80.000,00 = 0,00
Anggota0 Oh x 70.000,00 = 0,00"
1.11 . 1.12.01 . 17 . 19 . 5 . 2 . 2,Belanja Barang dan Jasa,24480000,
1.11 . 1.12.01 . 17 . 19 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,1655000,
1.11 . 1.12.01 . 17 . 19 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,1655000,"APBD 
Belanja Alat Tulis KantorBelanja ATK Kegiatan1 Pkt x 655.000,00 = 655.000,00
Belanja ATK Kegiatan HAN Anak1 Pkt x 1.000.000,00 = 1.000.000,00"
1.11 . 1.12.01 . 17 . 19 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,2150000,
1.11 . 1.12.01 . 17 . 19 . 5 . 2 . 2 . 03 . 14,Belanja Dekorasi,2150000,"APBD 
Belanja DekorasiDekorasi Hari Kabupaten1 Pkt x 500.000,00 = 500.000,00
Dekorasi Panggung1 Pkt x 1.500.000,00 = 1.500.000,00
Dekorasi Konggres Anak1 Pkt x 150.000,00 = 150.000,00"
1.11 . 1.12.01 . 17 . 19 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,1700000,
1.11 . 1.12.01 . 17 . 19 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,1700000,"APBD
 Belanja PenggandaanPenggandaan HAN Kabupaten1 Pkt x 1.000.000,00 = 1.000.000,00
Penggandaan Konggres1 Pkt x 700.000,00 = 700.000,00"
1.11 . 1.12.01 . 17 . 19 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,9375000,
1.11 . 1.12.01 . 17 . 19 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,1275000,"APBD 
Belanja Makan Minum Rapat
Snack Minum Rapat Forum Anak 3 x 1030 Org x 7.500,00 = 225.000,00
Makan Minum Rapat HAN 3 x 2060 Org x 17.500,00 = 1.050.000,00"
1.11 . 1.12.01 . 17 . 19 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,8100000,"APBD
 Belanja Makan Minum KegiatanSnack Minum Kegiatan HAN150 Org x 10.000,00 = 1.500.000,00
Makan Minum Kegiatan HAN150 Org x 20.000,00 = 3.000.000,00
Snack Minum Konggres Anak120 Org x 10.000,00 = 1.200.000,00
Makan Minum Konggres Anak120 Org x 20.000,00 = 2.400.000,00"
1.11 . 1.12.01 . 17 . 19 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,3000000,
1.11 . 1.12.01 . 17 . 19 . 5 . 2 . 2 . 15 . 02,Belanja Perjalanan Dinas Luar Daerah,3000000,"APBD
 Belanja Perjalanan Dinas Luar Daerah
Duta Anak Tingkat Provinsi10 Org x 100.000,00 = 1.000.000,00
Duta Anak Ke Luar DIY4 Org x 500.000,00 = 2.000.000,00"
1.11 . 1.12.01 . 17 . 19 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",1800000,
1.11 . 1.12.01 . 17 . 19 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,1800000,"APBD 
Honorarium NarasumberNarasumber HAN Kabupaten 3 Jpl x 26 Jpl x 150.000,00 = 900.000,00
Narasumber Konggres 2 Jpl x 36 Jpl x 150.000,00 = 900.000,00"
1.11 . 1.12.01 . 17 . 19 . 5 . 2 . 2 . 36,Belanja Jasa Transport Petugas/Peserta,4800000,
