Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,,,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 . 02 . 02 , Belanja Bahan/Bibit Tanaman ,62700000," Belanja Bibit Tanaman
- KWT Boma Prawotogati, Trimulyo, Jetis1 pkt x 2.850.000,00 = 2.850.000,00
KWT Lestari Canden, Jetis1 PKT x 2.850.000,00 = 2.850.000,00
KWT Dewi Sri Ngestiharjo Kasihan1 PKT x 2.850.000,00 = 2.850.000,00
KWT Kamasutra Sumbermulyo Bambanglipuro1 PKT x 2.850.000,00 = 2.850.000,00
KWT Sri Kandi Sriharjo, Imogiri1 PKT x 2.850.000,00 = 2.850.000,00
KWT Lestari Temuwuh, Dlingo1 PKT x 2.850.000,00 = 2.850.000,00
KWT Ngudi Rejeki Tirtosari Kretek1 PKT x 2.850.000,00 = 2.850.000,00
KWT Tirtomukti Tirtonirmolo Kasihan1 PKT x 2.850.000,00 = 2.850.000,00
KWT Mekar sari Argodadi Sedayu1 PKT x 2.850.000,00 = 2.850.000,00
KWT Mekar Sari Singosaren Banguntapan1 PKT x 2.850.000,00 = 2.850.000,00
KWT Tani RukunDonotirto Kretek1 pkt x 2.850.000,00 = 2.850.000,00
KWT Tri LestariPanjangrejo Pundong1 pkt x 2.850.000,00 = 2.850.000,00
KWT Sri RejekiBangunjiwo, Kasihan1 pkt x 2.850.000,00 = 2.850.000,00
- KWT Sehati, Baturetno, Banguntapan1 pkt x 2.850.000,00 = 2.850.000,00
- KWT Pakis sari, Pakis 1, Dlingo1 pkt x 2.850.000,00 = 2.850.000,00
- KWT Mnanunggaling Karyo, Caturharjo, Pandak1 pkt x 2.850.000,00 = 2.850.000,00
- KWT Boga Lestari, Argomulyo, Sedayu1 pkt x 2.850.000,00 = 2.850.000,00
- KWT Srikandi, Trimurti, Srandakan1 pkt x 2.850.000,00 = 2.850.000,00
- KWTSumber Rejeki, Panggungharjo, Sewon1 pkt x 2.850.000,00 = 2.850.000,00
- KWT Ngunan-unan, Srigading, Sanden1 pkt x 2.850.000,00 = 2.850.000,00
- KWT Langgeng Maju, Srimartani, Piyungan1 pkt x 2.850.000,00 = 2.850.000,00
- KWT Cabe Rawit, Bawuran, Pleret1 pkt x 2.850.000,00 = 2.850.000,00",,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 . 02 . 12 , Belanja alat-alat/perlengkapan ,96800000,"Belanja Alat Olahan Pangan
KWT Ngudi Rejeki Tirtosari Kretek1 PKT x 4.400.000,00 = 4.400.000,00
KWT Lestari Canden, Jetis1 PKT x 4.400.000,00 = 4.400.000,00
KWT Dewi Sri Ngestiharjo Kasihan1 PKT x 4.400.000,00 = 4.400.000,00
KWT Mekar Sari Singosaren Banguntapan1 PKT x 4.400.000,00 = 4.400.000,00
KWT Sri Kandi Sriharjo, Imogiri1 PKT x 4.400.000,00 = 4.400.000,00
KWT Lestari Temuwuh, Dlingo1 PKT x 4.400.000,00 = 4.400.000,00
KWT Sri Rejeki Bangunjiwo, Kasihan1 PKT x 4.400.000,00 = 4.400.000,00
KWT Tirtomukti Tirtonirmolo Kasihan1 PKT x 4.400.000,00 = 4.400.000,00
KWT Mekar sari Argodadi Sedayu1 PKT x 4.400.000,00 = 4.400.000,00
KWT Mnanunggaling Karyo, Caturharjo, Pandak1 PKT x 4.400.000,00 = 4.400.000,00
KWT Tani Rukun Donotirto Kretek1 PKT x 4.400.000,00 = 4.400.000,00
KWT Tri Lestari Panjangrejo Pundong1 PKT x 4.400.000,00 = 4.400.000,00
- KWTSumber Rejeki, Panggungharjo, Sewon1 PKT x 4.400.000,00 = 4.400.000,00
KWT Sehati, Baturetno, Banguntapan1 PKT x 4.400.000,00 = 4.400.000,00 
KWT Pakis sari, Pakis 1, Dlingo1 PKT x 4.400.000,00 = 4.400.000,00 
KWT Cabe Rawit, Bawuran, Pleret1 PKT x 4.400.000,00 = 4.400.000,00
KWT Boga Lestari, Argomulyo, Sedayu1 PKT x 4.400.000,00 = 4.400.000,00 
KWT Srikandi, Trimurti, Srandakan1 PKT x 4.400.000,00 = 4.400.000,00
KWT Boma Prawotogati, Trimulyo, Jetis1 pkt x 4.400.000,00 = 4.400.000,00
- KWT Ngunan-unan, Srigading, Sanden1 PKT x 4.400.000,00 = 4.400.000,00
- KWT Langgeng Maju, Srimartani, Piyungan1 PKT x 4.400.000,00 = 4.400.000,00
KWT KamasutraSumbermulyo Bambanglipuro1 PKT x 4.400.000,00 = 4.400.000,00",,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 . 02 . 17 , Belanja Bahan Pupuk ,5500000," - Pupuk Organik110 pkt x 50.000,00 = 5.500.000,00",,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 . 02 . 18 , Belanja Bahan Percontohan ,11000000," Belanja bahan percontohan
Belanja bahan percontohan untuk pelatihan olahan pangan 22 paket x 500.000,00 = 11.000.000,00",,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 . 03 , Belanja Jasa Kantor ,500000,,,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 . 03 . 14 , Belanja Dekorasi ,500000," Dekorasi Gerakan AB2S2 pkt x 250.000,00 = 500.000,00",,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,3000000,,,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,3000000," Belanja Cetak dan Penggandaan
Foto copy materi Gerakan Makan AB2S2 ls x 600.000,00 = 1.200.000,00
Penggandaan2 ls x 900.000,00 = 1.800.000,00",,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,95130000,,,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,5625000," Konsumsi Rapat Koordinasi250 om x 22.500,00 = 5.625.000,00",,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 . 11 . 05 , Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,89505000," Konsumsi Pelatihan SL Tk Kelompok2,600 om x 22.500,00 = 58.500.000,00
Konsumsi Peserta Gerakan Makan AB2S280 om x 28.500,00 = 7.980.000,00
Konsumsi Makan Siswa200 om x 28.500,00 = 5.700.000,00
Makan minum, snack kegiatan lapangan770 om x 22.500,00 = 17.325.000,00",,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,3700000,,,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,3700000," Perjalanan Dinas Dalam Daerah
- Gol IV = 26 x Rp 50.000,-26 op x 50.000,00 = 1.300.000,00
- Gol III =60 x Rp 40.000,-60 op x 40.000,00 = 2.400.000,00",,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",32400000,,,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 . 35 . 01 , Jasa Nara Sumber/Moderator/Tenaga Ahli ,2400000," '- Honor Pembicara Gerakan makan AB2S16 jpl x 150.000,00 = 2.400.000,00",,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 . 35 . 05 , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,3600000," - Uang Saku Peserta Gerakan Makan AB2S120 oh x 30.000,00 = 3.600.000,00",,
1.21 . 1.21.01 . 15 . 55 . 5 . 2 . 2 . 35 . 09 , Jasa Petugas Lapangan ,26400000," Honor Petugas Lapangan
'- Honor Pendamping132 ob x 100.000,00 = 13.200.000,00
- Honor untuk kelompok132 ob x 100.000,00 = 13.200.000,00",,
1.21 . 1.21.01 . 15 . 59 , Pengembangan lumbung pangan masyarakat ,44800000," Sumber Dana : 
Lokasi Kegiatan : Bantul
Keluaran : terlaksananya pemberdayaan lumbung pangan masyarakat
Target: 5 lumbung pangan",,
1.21 . 1.21.01 . 15 . 59 . 5 . 2 . 2 , Belanja Barang dan Jasa ,44800000,,,
1.21 . 1.21.01 . 15 . 59 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,940000,,,
1.21 . 1.21.01 . 15 . 59 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,940000," 'Belanja ATK dan suplies komputer1 ls x 490.000,00 = 490.000,00
Belanja ATK untuk pelatihan teknis30 pkt x 15.000,00 = 450.000,00",,
1.21 . 1.21.01 . 15 . 59 . 5 . 2 . 2 . 02 , Belanja Bahan/Material ,25000000,,,
1.21 . 1.21.01 . 15 . 59 . 5 . 2 . 2 . 02 . 18 , Belanja Bahan Percontohan ,25000000," Belanja bahan percontohan
Belanja bahan untuk pelatihan ( Gabah )5 pkt x 4.000.000,00 = 20.000.000,00
Belanja sarana penyimpanan (kayu, karung, dll)5 pkt x 1.000.000,00 = 5.000.000,00",,
1.21 . 1.21.01 . 15 . 59 . 5 . 2 . 2 . 03 , Belanja Jasa Kantor ,250000,,,
1.21 . 1.21.01 . 15 . 59 . 5 . 2 . 2 . 03 . 14 , Belanja Dekorasi ,250000," Belanja Dekorasi1 pkt x 250.000,00 = 250.000,00",,
1.21 . 1.21.01 . 15 . 59 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,900000,,,
1.21 . 1.21.01 . 15 . 59 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,900000," Belanja Penggandaan
Foto copy dan copy materi1 ls x 450.000,00 = 450.000,00
Foto copy dan copy materi1 pkt x 450.000,00 = 450.000,00",,
1.21 . 1.21.01 . 15 . 59 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,7890000,,,
1.21 . 1.21.01 . 15 . 59 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,3375000," Belanja Makan Minum Snack rapat koordinasi150 om x 22.500,00 = 3.375.000,00",,
1.21 . 1.21.01 . 15 . 59 . 5 . 2 . 2 . 11 . 05 , Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,4515000," Belanja Makan minum pelaksanaan kegiatan
Makan Minum Snack Fasilitasi Pertemuan Tk. Lapangan (6 x 25 Orgx Rp. 22.500)150 om x 22.500,00 = 3.375.000,00
Makan Minum Snack Pelatihan40 om x 28.500,00 = 1.140.000,00",,
1.21 . 1.21.01 . 15 . 59 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,2020000,,,
1.21 . 1.21.01 . 15 . 59 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,2020000," Belanja Perjalanan Dinas Dalam Daerah
Gol IV18 op x 50.000,00 = 900.000,00
Gol III28 op x 40.000,00 = 1.120.000,00",,
1.21 . 1.21.01 . 15 . 59 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",7800000,,,
1.21 . 1.21.01 . 15 . 59 . 5 . 2 . 2 . 35 . 01 , Jasa Nara Sumber/Moderator/Tenaga Ahli ,900000," Honorarium Narasumber
Honor pembicara pelatihan6 jpl x 150.000,00 = 900.000,00",,
1.21 . 1.21.01 . 15 . 59 . 5 . 2 . 2 . 35 . 05 , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,900000," Honorarium Peserta 
Uang Saku Peserta pelatihan teknis (30 x Rp.30.000)30 oh x 30.000,00 = 900.000,00",,
1.21 . 1.21.01 . 15 . 59 . 5 . 2 . 2 . 35 . 09 , Jasa Petugas Lapangan ,6000000," Honor petugas lapangan
Honor Pendamping20 ob x 100.000,00 = 2.000.000,00
Honor Pengelola Lumbung40 ob x 100.000,00 = 4.000.000,00",,
1.21 . 1.21.01 . 15 . 60 , Kajian Pangan lokal ,55000000," Sumber Dana : 
Lokasi Kegiatan : Bantul
Keluaran : Terlaksananya kegiatan kajian pangan lokal
Target: 1 buku",,
1.21 . 1.21.01 . 15 . 60 . 5 . 2 . 1 , Belanja Pegawai ,1985000,,,
1.21 . 1.21.01 . 15 . 60 . 5 . 2 . 1 . 01 , Honorarium PNS ,1985000,,,
1.21 . 1.21.01 . 15 . 60 . 5 . 2 . 1 . 01 . 01 , Honorarium Panitia Pelaksana Kegiatan ,1985000," Honor Tim Pelaksana Kegiatan
Ketua2 ob x 170.000,00 = 340.000,00
Sekretaris2 ob x 150.000,00 = 300.000,00
Anggota (4 Org)8 ob x 140.000,00 = 1.120.000,00
Honor Panitia Kegiatan Desiminasi3 ok x 75.000,00 = 225.000,00",,
1.21 . 1.21.01 . 15 . 60 . 5 . 2 . 2 , Belanja Barang dan Jasa ,53015000,,,
1.21 . 1.21.01 . 15 . 60 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,930000,,,
1.21 . 1.21.01 . 15 . 60 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,930000," ATK Kegiatan1 ls x 480.000,00 = 480.000,00
Belanja ATK Desiminasi30 pkt x 15.000,00 = 450.000,00",,
1.21 . 1.21.01 . 15 . 60 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,277500,,,
1.21 . 1.21.01 . 15 . 60 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,277500," Belanja Penggandaan/ fotokopi1,850 lbr x 150,00 = 277.500,00",,
1.21 . 1.21.01 . 15 . 60 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,1897500,,,
1.21 . 1.21.01 . 15 . 60 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,900000," Belanja makan minum, snack rapat40 om x 22.500,00 = 900.000,00",,
1.21 . 1.21.01 . 15 . 60 . 5 . 2 . 2 . 11 . 05 , Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,997500," Belanja makan dan minum, 
snack pelaksanaan Desiminasi35 om x 28.500,00 = 997.500,00",,
1.21 . 1.21.01 . 15 . 60 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,910000,,,
1.21 . 1.21.01 . 15 . 60 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,910000," Perjalanan Dinas ke lapangan 
Gol IV = 7x Rp 50.000,-7 op x 50.000,00 = 350.000,00 
Gol IV = 7x Rp 50.000,-14 op x 40.000,00 = 560.000,00",,
1.21 . 1.21.01 . 15 . 60 . 5 . 2 . 2 . 21 , Belanja Jasa Konsultansi ,47500000,,,
1.21 . 1.21.01 . 15 . 60 . 5 . 2 . 2 . 21 . 01 , Belanja Jasa Konsultansi Penelitian ,47500000," Belanja Jasa Konsultasi Penelitian1 pkt x 47.500.000,00 = 47.500.000,00",,
1.21 . 1.21.01 . 15 . 60 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",1500000,,,
1.21 . 1.21.01 . 15 . 60 . 5 . 2 . 2 . 35 . 01 , Jasa Nara Sumber/Moderator/Tenaga Ahli ,600000," Honorarium Narasumber
Honor Pembicara Desiminasi6 jpl x 100.000,00 = 600.000,00",,
1.21 . 1.21.01 . 15 . 60 . 5 . 2 . 2 . 35 . 05 , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,900000," Honorarium Peserta
Uang Harian Peserta Desiminasi30 oh x 30.000,00 = 900.000,00",,
2.02 . 1.21.01 . 16 , Program rehabilitasi hutan dan lahan ,126050000,,,
2.02 . 1.21.01 . 16 . 05 ," Pembinaan, pengendalian dan pengawasan gerakan rehabilitasi hutan dan lahan ",126050000," Sumber Dana :
 Lokasi Kegiatan : Bantul
Keluaran : Terlaksananya pembinaan pengendalian dan pengawasan hutan / lahan
Target: 2 GPS",,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 1 , Belanja Pegawai ,7540000,,,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 1 . 01 , Honorarium PNS ,7540000,,,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 1 . 01 . 01 , Honorarium Panitia Pelaksana Kegiatan ,7540000," HonorPanitia Pelaksana kegiatan
Ketua11 ob x 160.000,00 = 1.760.000,00
Sekretaris11 ob x 150.000,00 = 1.650.000,00
Anggota22 ob x 140.000,00 = 3.080.000,00
Honor PPK Honor PPK3 o/p x 350.000,00 = 1.050.000,00",,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 2 , Belanja Barang dan Jasa ,88860000,,,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,490000,,,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,490000," Belanja Alat Tulis Kantor1 th x 490.000,00 = 490.000,00",,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 2 . 02 , Belanja Bahan/Material ,50845000,,,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 2 . 02 . 18 , Belanja Bahan Percontohan ,50845000," Belanja Bahan Percontohan Budidaya Lebah Madu
Pembelian Bambu patok batas lokasi3 btg x 10.000,00 = 30.000,00
Pembelian ajir1,000 btg x 250,00 = 250.000,00
Pembelian tanaman akasia mangium pakan lebah1,000 btg x 7.500,00 = 7.500.000,00
Pembelian pakan cadangan25 unit x 10.000,00 = 250.000,00
Pembelian pupuk kandang1,010 kg x 600,00 = 606.000,00
Pembelian masker11 bh x 50.000,00 = 550.000,00
Pembelian koloni25 unit x 350.000,00 = 8.750.000,00
Pembelian Ekstraktor1 unit x 2.500.000,00 = 2.500.000,00
Pembelian tiang penyangga25 unit x 10.000,00 = 250.000,00
Belanja Bahan Percontohan Pengembangan Bambu Wulung
Pembelian ajir780 btg x 250,00 = 195.000,00
Pembelian ajir780 btg x 9.000,00 = 7.020.000,00
Pembelian pupuk kandang2,340 kg x 600,00 = 1.404.000,00
Pembelian Bambu patok batas5 btg x 10.000,00 = 50.000,00
Belanja Bahan Percontohan Pengembangan tanaman bawah tegakan'
Pembelian Hand Spreyer1 bh x 400.000,00 = 400.000,00
Pembelian pupuk kandang4,000 kg x 600,00 = 2.400.000,00
Pembelian obatan/fungisida1 pkt x 250.000,00 = 250.000,00
Pembelian cangkul5 bh x 100.000,00 = 500.000,00
Pembelian bambu patok batas lokasi5 btg x 10.000,00 = 50.000,00
Pembelian benih jahe200 kg x 25.000,00 = 5.000.000,00
Pembelian benih Garut200 kg x 3.000,00 = 600.000,00
Belanja Bahan Percontohan Pembuatan Hutan Rakyat Projotamansari
Pembelian bibit Terong2,000 btg x 150,00 = 300.000,00
Pembelian Bibit Sengon1,000 btg x 4.000,00 = 4.000.000,00
'Pembelian Mangga200 btg x 8.000,00 = 1.600.000,00
Pembelian bibit Cabai6,000 btg x 150,00 = 900.000,00
Pembelian pupuk kandang6,400 kg x 600,00 = 3.840.000,00
Pembelian cangkul5 bh x 100.000,00 = 500.000,00
Pembelian Hand Spreyer2 bh x 400.000,00 = 800.000,00
Pembelian bambu patok batas lokasi5 bt x 10.000,00 = 50.000,00
Pembelian dan pemasangan ajir1,200 btg x 250,00 = 300.000,00",,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 2 . 03 , Belanja Jasa Kantor ,1000000,,,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 2 . 03 . 15 , Belanja Publikasi ,1000000," Belanja Publikasi
Pengadaan papan nama Percontohan Budidaya Lebah Madu1 unit x 250.000,00 = 250.000,00
Pengadaan Papan nama Percontohan Pengembangan Bambu wulung1 ubit x 250.000,00 = 250.000,00
Pengadaan papan naman Percontohan Pengembangan tanaman bawah tegakan1 unit x 250.000,00 = 250.000,00
Pengadaan Papan nama Percontohan Pembuatan Hutan Rakyat1 unit x 250.000,00 = 250.000,00",,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,9900000,,,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 2 . 06 . 01 , Belanja Cetak ,8000000," Belanja cetak
Belanja Cetak Poster Alat Peraga Penyuluhan4 eksmplr x 2.000.000,00 = 8.000.000,00",,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,1900000," Belanja Penggandaan
Penggandaan dan penjilidan Laporan Percontohan Pengembangan tanaman bawah tegakan1 pkt x 475.000,00 = 475.000,00
Penggandaan dan penjilidan Laporan Percontohan Budidaya Lebah Madu 1 pkt x 475.000,00 = 475.000,00
Penggandaan dan penjilidan Laporan Percontohan Pengembangan Bambu wulung 1 pkt x 475.000,00 = 475.000,00
Penggandaan dan penjilidan Laporan Percontohan Pengembangan tanaman bawah tegakan1 pkt x 475.000,00 = 475.000,00",,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,1360000,,,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,1360000," Belanja Makan dan Minum rapat
Belanja Makan minum snack koordinasi80 om x 17.000,00 = 1.360.000,00",,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,5000000,,,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,1000000," Belanja Perjalanan dinas dalam daerah
Gol IV10 op x 40.000,00 = 400.000,00
Gol III20 op x 30.000,00 = 600.000,00",,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 2 . 15 . 02 , Belanja Perjalanan Dinas Luar Daerah ,4000000," Belanja Perjalanan dinas luar daerah
Golongan III 1 X 6000001 op x 600.000,00 = 600.000,00 
Tiket perjalanan 1 x Rp.3.400.000,-1 op x 3.400.000,00 = 3.400.000,00",,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",20265000,,,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 2 . 35 . 06 , Jasa Tenaga Harian Lepas ,20265000," Honor Tenaga Harian Lepas Percontohan Budidaya Lebah Madu
Honor Penanaman tanaman Pakan lebah10 HOK x 35.000,00 = 350.000,00
Honor Pengelolaan/Pemeliharaan Lebah Madu20 HOK x 35.000,00 = 700.000,00
Honor Tenaga Harian Lepas Percontohan Pengembangan Bambu wulung
Honor Pemeliharaan tanaman/Piringan15 HOK x 35.000,00 = 525.000,00
Honor Pemasangan Ajir10 HOK x 35.000,00 = 350.000,00
Honor Pengangkutan bibit kelokasi6 HOK x 35.000,00 = 210.000,00
Honor Penanaman dan pemupukan52 HOK x 35.000,00 = 1.820.000,00
Honor Pembersihan lokasi tanam25 HOK x 35.000,00 = 875.000,00
Honor Tenaga Harian Lepas Percontohan Pengembangan tanaman bawah tegakan
Honor Pengolahan tanah100 HOK x 35.000,00 = 3.500.000,00
Pemeliharaan tanaman60 HOK x 35.000,00 = 2.100.000,00
Honor Tenaga Harian Lepas Percontohan Pembuatan Hutan Rakyat ProjotamansariPenanaman tanaman sayuran40 HOK x 35.000,00 = 1.400.000,00
Pemeliharaan tanaman60 HOK x 35.000,00 = 2.100.000,00
Honor Pemupukan tanaman keras12 HOK x 35.000,00 = 420.000,00
Honor Pembuatan lubang tanam60 HOK x 35.000,00 = 2.100.000,00
Honor Penanaman dan pengangkutan bibit tanaman keras25 HOK x 35.000,00 = 875.000,00
Honor Pemasangan Papan nama2 HOK x 35.000,00 = 70.000,00
Honor Pemasangan Patok batas lokasi2 HOK x 35.000,00 = 70.000,00
Honor Pembuatan cemplongan dan pemupukan80 HOK x 35.000,00 = 2.800.000,00",,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 3 , Belanja Modal ,29650000,,,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 3 . 24 , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Ukur ,13000000,,,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 3 . 24 . 01 , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Ukur Universal ,13000000," Global Positioning System (GPS)
Belanja Modal Pengadaan GPS2 unit x 6.500.000,00 = 13.000.000,00",,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 3 . 31 , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Studio ,16650000,,,
2.02 . 1.21.01 . 16 . 05 . 5 . 2 . 3 . 31 . 01 , Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Studio Visual ,16650000," Proyektor + Attachment
Belanja modal pembelian LCD Proyektor2 unit x 7.500.000,00 = 15.000.000,00
Honor Pejabat Pengadaan3 o/p x 300.000,00 = 900.000,00
Honor pejabat penerima/ pemeriksa barang3 o/p x 250.000,00 = 750.000,00",,
2.01 . 1.21.01 . 17 , Program peningkatan pemasaran hasil produksi pertanian/perkebunan ,176000000,,,
2.01 . 1.21.01 . 17 . 07 , Promosi atas hasil produksi pertanian/perkebunan unggulan daerah ,176000000," Sumber Dana :
 Lokasi Kegiatan : Bantul
Keluaran : terlaksananya promosi di Bantul Expo
Target: 1 kali",,
2.01 . 1.21.01 . 17 . 07 . 5 . 2 . 2 , Belanja Barang dan Jasa ,176000000,,,
2.01 . 1.21.01 . 17 . 07 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,1000000,,,
2.01 . 1.21.01 . 17 . 07 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,1000000," Belanja Alat Tulis Kantor
Belanja ATK1 ls x 1.000.000,00 = 1.000.000,00",,
2.01 . 1.21.01 . 17 . 07 . 5 . 2 . 2 . 02 , Belanja Bahan/Material ,135000000,,,
2.01 . 1.21.01 . 17 . 07 . 5 . 2 . 2 . 02 . 18 , Belanja Bahan Percontohan ,135000000," Belanja Bahan Percontohan
Belanja bhn pameran dan perlengkapan Bantul Expo1 paket x 9.000.000,00 = 9.000.000,00
Belanja bhn/materi dan perlengkapan karnaval1 paket x 7.000.000,00 = 7.000.000,00
Belanja bahan dan perlengkapan pameran tk kecamatan17 paket x 7.000.000,00 = 119.000.000,00",,
2.01 . 1.21.01 . 17 . 07 . 5 . 2 . 2 . 03 , Belanja Jasa Kantor ,1600000,,,
2.01 . 1.21.01 . 17 . 07 . 5 . 2 . 2 . 03 . 15 , Belanja Publikasi ,1600000," Belanja Jasa Pihak Ketiga 
Belanja Jasa pihak ketiga (siaran radio)4 kali x 400.000,00 = 1.600.000,00",,
2.01 . 1.21.01 . 17 . 07 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,240000,,,
2.01 . 1.21.01 . 17 . 07 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,240000," Belanja Penggandaan
Belanja Penggandaan/Fotocopy1 paket x 240.000,00 = 240.000,00",,
2.01 . 1.21.01 . 17 . 07 . 5 . 2 . 2 . 07 , Belanja Sewa Rumah/Gedung/Gudang/Parkir ,2400000,,,
2.01 . 1.21.01 . 17 . 07 . 5 . 2 . 2 . 07 . 02 , Belanja Sewa Gedung/Kantor/Tempat ,2400000," Belanja Sewa kapling
 - Sewa kapling Bantul Expo3 kapling x 800.000,00 = 2.400.000,00",,
2.01 . 1.21.01 . 17 . 07 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,21450000,,,
